,date,count
1111,06/23/2019,2
1112,07/05/2019,2
1113,07/10/2019,2
1114,07/24/2019,2
1115,08/01/2019,2
1116,08/02/2019,2
1117,08/07/2019,2
1118,08/09/2019,2
1119,08/14/2019,2
1120,08/16/2019,2
1121,09/22/2019,2
1122,10/06/2019,2
1123,10/07/2019,2
1124,11/10/2019,2
1125,11/15/2019,2
1126,11/19/2019,2
1127,11/20/2019,2
1128,11/21/2019,2
1129,11/25/2019,2
1130,11/29/2019,2
1131,12/04/2019,2
1132,12/09/2019,2
1133,12/13/2019,2
1134,12/17/2019,2
1135,12/18/2019,2
1136,12/20/2019,2
1137,12/22/2019,2
1138,12/23/2019,2
1139,12/25/2019,2
1140,12/31/2019,2
1141,01/09/2020,2
1142,01/10/2020,2
1143,01/13/2020,2
1144,01/20/2020,2
1145,01/21/2020,2
1146,01/23/2020,2
1147,01/26/2020,2
1148,01/27/2020,2
1149,01/29/2020,2
1150,02/01/2020,2
1151,02/05/2020,2
1152,03/08/2020,2
1153,03/14/2020,2
1154,03/27/2020,2
1155,03/30/2020,2
1156,04/05/2020,2
1157,04/06/2020,2
1158,04/12/2020,2
1159,04/20/2020,2
1160,04/22/2020,2
1161,04/27/2020,2
1162,05/06/2020,2
1163,05/07/2020,2
1164,05/10/2020,2
1165,05/14/2020,2
1166,05/15/2020,2
1167,05/16/2020,2
1168,05/24/2020,2
1169,05/30/2020,2
1170,05/31/2020,2
1171,06/08/2020,2
1172,06/14/2020,2
1173,06/22/2020,2
1174,06/26/2020,2
1175,06/28/2020,2
1176,06/29/2020,2
1177,06/30/2020,2
1178,07/03/2020,2
1179,07/05/2020,2
1180,07/10/2020,2
1181,07/13/2020,2
1182,07/14/2020,2
1183,07/15/2020,2
1184,07/21/2020,2
1185,07/24/2020,2
1186,08/01/2020,2
1187,08/14/2020,2
1188,08/15/2020,2
1189,08/16/2020,2
1190,09/07/2020,2
1191,09/11/2020,2
1192,12/18/2020,2
1193,12/28/2020,2
1194,12/29/2020,2
1195,01/05/2021,2
1196,01/06/2021,2
1197,01/09/2021,2
1198,01/21/2021,2
1199,01/27/2021,2
1200,02/04/2021,2
1201,02/05/2021,2
1202,02/12/2021,2
1203,02/19/2021,2
1204,02/20/2021,2
1205,02/21/2021,2
1206,02/24/2021,2
1207,02/27/2021,2
1208,03/04/2021,2
1209,03/08/2021,2
1210,03/15/2021,2
1211,03/16/2021,2
1212,03/17/2021,2
1213,03/25/2021,2
1214,03/26/2021,2
1215,03/30/2021,2
1216,04/01/2021,2
1217,04/02/2021,2
1218,04/05/2021,2
1219,04/16/2021,2
1220,04/24/2021,2
1221,04/28/2021,2
1222,05/16/2021,2
1223,05/20/2021,2
1224,05/22/2021,2
1225,05/24/2021,2
1226,06/02/2021,2
1227,06/04/2021,2
1228,06/08/2021,2
1229,06/11/2021,2
1230,06/16/2021,2
1231,06/17/2021,2
1232,06/21/2021,2
1233,06/22/2021,2
1234,06/26/2021,2
1235,07/10/2021,2
1236,07/15/2021,2
1237,07/19/2021,2
1238,07/21/2021,2
1239,07/22/2021,2
1240,08/05/2021,2
1241,08/11/2021,2
1242,08/13/2021,2
1243,08/18/2021,2
1244,08/21/2021,2
1245,08/22/2021,2
1246,08/27/2021,2
1247,09/03/2021,2
1248,09/10/2021,2
1249,09/12/2021,2
1250,09/18/2021,2
1251,09/19/2021,2
1252,09/20/2021,2
1253,11/25/2021,2
1254,12/09/2021,2
1255,12/10/2021,2
1256,12/11/2021,2
1257,12/12/2021,2
1258,12/17/2021,2
1259,12/19/2021,2
1260,12/21/2021,2
1261,12/22/2021,2
1262,12/24/2021,2
1263,01/04/2022,2
1264,01/13/2022,2
1265,01/19/2022,2
1266,01/22/2022,2
1267,01/27/2022,2
1268,02/03/2022,2
1269,02/09/2022,2
1270,02/10/2022,2
1271,02/11/2022,2
1272,02/13/2022,2
1273,02/23/2022,2
1274,02/25/2022,2
1275,02/26/2022,2
1276,03/13/2022,2
1277,03/23/2022,2
1278,03/24/2022,2
1279,03/27/2022,2
1280,04/01/2022,2
1281,04/05/2022,2
1282,04/28/2022,2
1283,05/12/2022,2
1284,06/08/2022,2
1285,07/01/2022,2
1286,07/10/2022,2
1287,07/14/2022,2
1288,07/26/2022,2
1289,08/10/2022,2
1290,08/16/2022,2
1291,08/19/2022,2
1292,08/20/2022,2
1293,08/23/2022,2
1294,08/24/2022,2
1295,08/27/2022,2
1296,09/06/2022,2
1297,09/09/2022,2
1298,09/11/2022,2
1299,09/12/2022,2
1300,09/22/2022,2
1301,09/29/2022,2
1302,10/19/2022,2
1303,10/27/2022,2
1304,11/13/2022,2
1305,11/25/2022,2
1306,11/30/2022,2
1307,12/03/2022,2
1308,12/05/2022,2
1309,12/10/2022,2
1310,12/23/2022,2
1311,12/24/2022,2
1312,12/26/2022,2
1313,12/27/2022,2
1314,01/04/2023,2
1315,01/10/2023,2
1316,01/25/2023,2
1317,01/27/2023,2
1318,01/30/2023,2
1319,02/02/2023,2
1320,02/17/2023,2
1321,02/18/2023,2
1322,02/20/2023,2
1323,02/21/2023,2
1324,02/27/2023,2
1325,03/06/2023,2
1326,03/15/2023,2
1327,03/27/2023,2
1328,04/03/2023,2
1329,04/05/2023,2
1330,04/11/2023,2
1331,04/15/2023,2
1332,04/20/2023,2
1333,05/08/2023,2
1334,05/13/2023,2
1335,05/14/2023,2
1336,05/17/2023,2
1337,05/24/2023,2
1338,05/25/2023,2
1339,06/10/2023,2
1340,07/03/2023,2
1341,07/29/2023,2
1342,08/08/2023,2
1343,08/12/2023,2
1344,08/20/2023,2
1345,09/05/2023,2
1346,09/19/2023,2
1347,09/24/2023,2
1348,09/25/2023,2
1349,10/20/2023,2
1350,10/29/2023,2
1351,11/01/2023,2
1352,11/25/2023,2
1353,11/27/2023,2
1354,12/06/2023,2
1355,12/08/2023,2
1356,12/13/2023,2
1357,12/15/2023,2
1358,12/28/2023,2
1359,01/03/2024,2
1360,01/16/2024,2
1361,01/23/2024,2
1362,01/24/2024,2
1363,02/05/2024,2
1364,02/06/2024,2
1365,03/07/2024,2
1366,03/16/2024,2
1367,03/23/2024,2
1368,03/29/2024,2
1369,04/05/2024,2
1370,04/14/2024,2
1371,04/22/2024,2
1372,04/29/2024,2
1373,05/01/2024,2
1374,05/02/2024,2
1375,05/07/2024,2
1376,05/24/2024,2
1377,05/26/2024,2
1378,05/30/2024,2
1379,06/06/2024,2
1380,06/15/2024,2
1381,06/17/2024,2
1382,07/05/2024,2
1383,07/25/2024,2
1384,07/29/2024,2
1385,08/04/2024,2
1386,08/09/2024,2
1387,08/12/2024,2
1388,08/15/2024,2
1389,08/17/2024,2
1390,08/20/2024,2
1391,09/05/2024,2
1392,09/06/2024,2
1393,09/16/2024,2
1394,09/22/2024,2
1395,09/26/2024,2
1396,09/28/2024,2
1397,09/29/2024,2
1398,10/02/2024,2
1399,10/23/2024,2
1400,10/28/2024,2
1401,11/18/2024,2
1402,11/25/2024,2
1403,11/28/2024,2
1404,12/08/2024,2
1405,12/12/2024,2
1406,12/16/2024,2
1407,12/23/2024,2
1408,12/27/2024,2
1409,01/01/2025,2
1410,01/02/2025,2
1411,01/03/2025,2
1412,01/04/2025,2
1413,01/07/2025,2
1414,01/08/2025,2
1415,01/16/2025,2
1416,01/22/2025,2
1417,01/23/2025,2
1418,01/26/2025,2
1419,01/27/2025,2
1420,02/04/2025,2
1421,02/05/2025,2
1422,02/06/2025,2
1423,03/20/2025,2
1424,03/24/2025,2
1425,04/01/2025,2
1426,04/18/2025,2
1427,04/24/2025,2
1428,05/03/2025,2
1429,05/09/2025,2
1430,05/23/2025,2
1431,06/17/2025,2
1432,07/02/2025,2
1433,07/22/2025,2
1434,08/07/2025,2
